Group,Individual_No,Sex,Reproductive_status_of_female,Preoviposition_period,Total_number_of_eggs
D,33,female,yes,21.0,15.0
D,34,female,no,,
D,35,male,no,,
D,36,male,no,,
D,37,male,no,,
D,38,male,no,,
D,39,male,no,,
D,40,female,no,,
D,41,female,no,,
D,42,female,no,,
D,43,female,no,,
D,44,female,no,,
D,45,male,no,,
D,46,male,no,,
D,47,female,no,,
D,48,female,no,,
D,49,male,no,,
D,50,male,no,,
D,51,female,no,,
D,52,female,no,,
D,53,male,no,,
D,54,male,no,,
D,55,male,no,,
D,56,female,yes,19.0,10.0
D,57,female,no,,
D,58,female,no,,
D,59,male,no,,
D,60,male,no,,
D,61,male,no,,
D,62,female,yes,15.0,74.0
D,63,female,no,,
D,64,female,no,,
D,65,male,no,,
D,66,male,no,,
D,67,male,no,,
D,68,female,no,,
D,69,female,no,,
D,70,female,no,,
D,71,male,no,,
D,72,male,no,,
D,73,male,no,,
D,74,male,no,,
D,75,female,no,,
D,76,female,no,,
D,77,female,no,,
D,78,female,no,,
D,79,male,no,,
D,80,female,no,,
